batch_id,upload_exists,developed_exists,raw_number,jpg_number,metadata_exists,metadata_json_number
TX_2022-12-07/,0,1,0,484,1,439
TX_2022-12-09/,0,1,0,485,0,0
TX_2022-12-15/,0,1,0,288,1,287
TX_2022-12-21/,0,1,0,427,1,427
TX_2022-12-22/,0,1,0,118,1,107
TX_2022-12-26/,0,1,0,93,1,92
TX_2023-01-06/,0,1,0,452,1,452
TX_2023-01-10/,0,1,0,460,1,460
TX_2023-01-13/,0,1,0,522,1,519
TX_2023-01-19/,0,1,0,551,1,549
TX_2023-01-25/,0,1,0,376,1,373
TX_2023-01-26/,0,1,0,250,1,247
TX_2023-02-17/,0,1,0,504,1,503
TX_2023-02-22/,0,1,0,330,1,302
TX_2023-03-03/,0,1,0,518,1,515
TX_2023-03-15/,0,1,0,547,1,547
TX_2023-03-17/,0,1,0,514,1,514
TX_2023-03-22/,0,1,0,534,1,526
TX_2023-03-23/,0,1,0,299,1,295
TX_2023-03-29/,0,1,0,542,0,0
TX_2023-04-04/,0,1,0,530,0,0
TX_2023-04-17/,0,1,0,565,0,0
TX_2023-04-18/,0,1,0,382,0,0
TX_2023-04-28/,0,1,0,477,0,0
TX_2023-05-08/,0,1,0,240,1,240
TX_2023-05-10/,0,1,0,243,1,243
TX_2023-05-12/,0,1,0,248,1,248
TX_2023-05-16/,0,1,0,252,0,0
TX_2023-05-17/,0,1,0,256,1,256
TX_2023-05-20/,0,1,0,252,1,252
TX_2023-05-22/,0,1,0,255,1,255
TX_2023-05-23/,0,1,0,256,1,256
TX_2023-05-26/,0,1,0,297,1,297
TX_2023-06-05/,0,1,0,499,0,0
TX_2023-06-06/,0,1,0,470,1,470
TX_2023-06-07/,0,1,0,512,1,512
TX_2023-06-08/,0,1,0,550,1,550
TX_2023-06-09/,0,1,0,453,0,0
TX_2023-06-12/,0,1,0,517,1,517
TX_2023-06-13/,0,1,0,514,1,514
TX_2023-06-14/,0,1,0,240,1,240
TX_2023-06-16/,0,1,0,500,0,0
TX_2023-06-21/,0,1,0,513,1,513
TX_2023-06-23/,0,1,0,499,1,499
TX_2023-06-27/,0,1,0,473,1,473
TX_2023-06-30/,0,1,0,464,1,464
TX_2023-07-03/,0,1,0,138,1,133
TX_2023-07-11/,0,1,0,268,1,268
TX_2023-07-13/,0,1,0,453,1,453
TX_2023-07-18/,0,1,0,169,1,129
TX_2023-07-20/,0,1,0,240,1,240
TX_2023-07-21/,0,1,0,476,1,476
TX_2023-07-25/,0,1,0,468,1,468
TX_2023-07-27/,0,1,0,475,1,475
TX_2023-08-14/,0,1,0,496,1,496
TX_2023-08-16/,0,1,0,168,1,168
TX_2023-08-17/,0,1,0,209,1,208
TX_2023-08-23/,0,1,0,454,1,454
TX_2023-08-25/,0,1,0,463,1,463
TX_2023-08-31/,0,1,0,329,0,0
TX_2023-09-05/,0,1,0,345,1,345
TX_2023-09-09/,0,1,0,125,1,118
TX_2023-09-11/,0,1,0,400,1,398
TX_2023-09-13/,0,1,0,279,1,267
TX_2023-09-20/,0,1,0,355,1,355
TX_2023-09-23/,0,1,0,282,0,0
TX_2023-09-26/,0,1,0,328,1,328
TX_2023-09-29/,0,1,0,238,1,238
TX_2023-10-03/,0,1,0,190,1,87
